Survey year,Survey ID,Survey name official,Survey name,Survey abbriviation,Cruise ID,Cruise code,Stratum ID,Station ID,Haul number,Vessel ID,Vessel name,Date and time,Start latitude (decimal degrees),Start longitude (decimal degrees),End latitude (decimal degrees),End longitude (decimal degrees),Depth (m),Distance fished (km),Tow duration (decimal hr),Area swept (km),Net height (m),Net width (m),Haul performance code,Bottom temperature (degrees Celsius),Surface temperature (degrees Celsius),Taxon code,Taxon common name,Taxon scientific name,Taxon weight (kg),Taxon count,Weight CPUE (kg/km2),Number CPUE (no/km2),Taxon confidence rating,Lowest taxonomic rank,Integrated taxonomic information system (ITIS) serial number,World register of marine species (WoRMS) taxonomic serial number
2021,47,Gulf of Alaska Bottom Trawl Survey,Gulf of Alaska,GOA,202101,-742,240,368-145,266,176,ALASKA PROVIDER,06-AUG-2021 12:42PM,58.57066,-139.56427,58.58296,-139.57483,262,1.502,.266,.023644,6.698,15.742,0,5.2,14.9,40505,egg yolk jelly,Phacellophora camtschatica,9.34,3,395.018136,126.879487,1,species,51696,135309
2021,47,Gulf of Alaska Bottom Trawl Survey,Gulf of Alaska,GOA,202101,-742,241,360-147,258,176,ALASKA PROVIDER,04-AUG-2021 04:01PM,58.69181,-140.25937,58.6869,-140.23497,207,1.522,.267,.024848,6.488,16.326,0,5.8,15.3,24001,prowfish,Zaprora silenus,6.84,2,275.271758,80.488818,1,species,171659,254353
2021,47,Gulf of Alaska Bottom Trawl Survey,Gulf of Alaska,GOA,202101,-742,241,363-145,263,176,ALASKA PROVIDER,06-AUG-2021 07:02AM,58.5937,-140.01416,58.60434,-140.03036,212,1.515,.267,.025594,6.292,16.894,0,5.9,15.4,30475,redbanded rockfish,Sebastes babcocki,.063,1,2.461475,39.071032,1,species,166710,274775
2021,47,Gulf of Alaska Bottom Trawl Survey,Gulf of Alaska,GOA,202101,-742,141,338-165,248,176,ALASKA PROVIDER,02-AUG-2021 05:58PM,59.52838,-142.07294,59.53478,-142.09684,182,1.533,.267,.024424,6.749,15.932,0,6,14.9,20510,sablefish,Anoplopoma fimbria,19.88,24,813.96162,982.649843,1,species,167123,159463
2021,47,Gulf of Alaska Bottom Trawl Survey,Gulf of Alaska,GOA,202101,-742,150,420-93,280,176,ALASKA PROVIDER,09-AUG-2021 05:26PM,56.22929,-135.3021,56.2379,-135.32035,191,1.487,.267,.024605,6.564,16.547,0,5.7,13.5,30152,dusky rockfish,Sebastes variabilis,2.98,2,121.11168,81.283007,1,species,644604,398442
2021,47,Gulf of Alaska Bottom Trawl Survey,Gulf of Alaska,GOA,202101,-742,142,377-153,260,176,ALASKA PROVIDER,05-AUG-2021 09:39AM,58.93886,-138.86297,58.93932,-138.83681,193,1.513,.266,.02429,6.573,16.054,0,6.1,15.5,82530,orange-pink sea urchin,Strongylocentrotus fragilis,.325,2,13.380156,82.339421,1,species,157967,569742
2021,47,Gulf of Alaska Bottom Trawl Survey,Gulf of Alaska,GOA,202101,-742,151,435-78,284,176,ALASKA PROVIDER,11-AUG-2021 01:30PM,55.5786,-134.04689,55.57095,-134.06816,120,1.594,.288,.024948,6.955,15.651,0,6.5,14.5,710,spotted ratfish,Hydrolagus colliei,27.639,131,1107.877947,5250.986324,1,species,161015,271406
2021,47,Gulf of Alaska Bottom Trawl Survey,Gulf of Alaska,GOA,202101,-742,250,418-93,279,176,ALASKA PROVIDER,09-AUG-2021 03:10PM,56.21364,-135.46615,56.22193,-135.47973,227,1.253,.23,.022005,6.219,17.562,0,5.6,13.6,21341,darkfin sculpin,Malacocottus zonurus,1.285,24,58.395326,1090.651994,1,species,167305,254406
2021,47,Gulf of Alaska Bottom Trawl Survey,Gulf of Alaska,GOA,202101,-742,240,324-169,246,176,ALASKA PROVIDER,02-AUG-2021 11:53AM,59.73075,-143.20555,59.74442,-143.20639,256,1.526,.268,.024738,6.582,16.211,0,5.4,13.9,40504,Chrysaora melanaster,Chrysaora melanaster,2.44,5,98.633737,202.118313,1,species,51641,287209
2021,47,Gulf of Alaska Bottom Trawl Survey,Gulf of Alaska,GOA,202101,-742,351,418-87,286,176,ALASKA PROVIDER,12-AUG-2021 07:03AM,55.95255,-135.42656,55.94096,-135.42105,341,1.339,.242,.022206,6.607,16.584,6.12,5.5,11.6,10110,arrowtooth flounder,Atheresthes stomias,3.86,3,173.827082,135.098768,1,species,172862,279792
2021,47,Gulf of Alaska Bottom Trawl Survey,Gulf of Alaska,GOA,202101,-742,132,227-145,192,176,ALASKA PROVIDER,21-JUL-2021 03:06PM,58.60421,-151.2344,58.60408,-151.20588,162,1.666,.291,.028384,4.97,17.037,0,5.9,,440,longnose skate,Beringraja rhina,2.64,2,93.01132,70.463121,1,species,160851,1461133
2021,47,Gulf of Alaska Bottom Trawl Survey,Gulf of Alaska,GOA,202101,-742,31,228-121,170,176,ALASKA PROVIDER,16-JUL-2021 10:06AM,57.45325,-151.14927,57.4635,-151.14086,86,1.249,.22,.018872,7.177,15.11,0,6.6,11.9,30320,quillback rockfish,Sebastes maliger,.6,1,31.792476,52.987459,1,species,166726,274815
2021,47,Gulf of Alaska Bottom Trawl Survey,Gulf of Alaska,GOA,202101,-742,30,218-136,166,176,ALASKA PROVIDER,15-JUL-2021 01:04PM,58.14989,-152.02015,58.15189,-151.9941,65,1.556,.269,.023359,7.294,15.012,0,8.1,8.7,21910,lingcod,Ophiodon elongatus,2.76,1,118.157402,42.810653,1,species,167116,240745
2021,47,Gulf of Alaska Bottom Trawl Survey,Gulf of Alaska,GOA,202101,-742,230,244-131,177,176,ALASKA PROVIDER,17-JUL-2021 02:35PM,57.92384,-149.87224,57.93729,-149.87215,255,1.497,.263,.025374,6.672,16.95,0,4.6,16.6,79210,magistrate armhook squid,Berryteuthis magister,1.48,8,58.327077,315.281497,1,species,82430,342286
2021,47,Gulf of Alaska Bottom Trawl Survey,Gulf of Alaska,GOA,202101,-742,31,231-128,171,176,ALASKA PROVIDER,16-JUL-2021 12:56PM,57.80488,-150.88933,57.81836,-150.889,78,1.503,.268,.022262,7.123,14.812,0,6.8,14.4,91020,hermit sponge,Suberites domuncula,.013,1,.583943,44.918714,3,species,48489,134282
2021,47,Gulf of Alaska Bottom Trawl Survey,Gulf of Alaska,GOA,202101,-742,131,241-152,213,176,ALASKA PROVIDER,25-JUL-2021 05:45PM,58.88758,-150.12561,58.89719,-150.12575,183,1.071,.189,.017665,5.351,16.494,0,5.6,11.7,91230,firm gray sponge,Axinella sp.,.802,,45.400319,,3,genus,48330,131774
2021,47,Gulf of Alaska Bottom Trawl Survey,Gulf of Alaska,GOA,202101,-742,133,235-155,205,176,ALASKA PROVIDER,24-JUL-2021 12:41PM,59.03514,-150.60895,59.03513,-150.58287,111,1.505,.269,.022455,7.124,14.92,0,5.8,11,82522,Strongylocentrotus polyacanthus,Strongylocentrotus polyacanthus,.063,2,2.805661,89.06861,,species,157976,423782
2021,47,Gulf of Alaska Bottom Trawl Survey,Gulf of Alaska,GOA,202101,-742,33,257-165,218,176,ALASKA PROVIDER,26-JUL-2021 04:56PM,59.50636,-148.73884,59.52044,-148.74389,81,1.595,.282,.025534,5.856,16.009,0,6.1,12.3,82522,Strongylocentrotus polyacanthus,Strongylocentrotus polyacanthus,2.498,109,97.828984,4268.758698,,species,157976,423782
2021,47,Gulf of Alaska Bottom Trawl Survey,Gulf of Alaska,GOA,202101,-742,230,258-151,215,176,ALASKA PROVIDER,26-JUL-2021 09:38AM,58.85877,-148.67151,58.8678,-148.69145,278,1.533,.265,.024388,5.403,15.909,0,4.9,11.6,69310,golden king crab,Lithodes aequispinus,.966,1,39.608837,41.002937,1,species,660179,550622
2021,47,Gulf of Alaska Bottom Trawl Survey,Gulf of Alaska,GOA,202101,-742,131,237-152,212,176,ALASKA PROVIDER,25-JUL-2021 04:01PM,58.93378,-150.44803,58.93328,-150.42058,126,1.588,.28,.025278,5.156,15.918,0,5.5,11.3,10110,arrowtooth flounder,Atheresthes stomias,81.1,203,3208.350859,8030.767254,1,species,172862,279792
2021,47,Gulf of Alaska Bottom Trawl Survey,Gulf of Alaska,GOA,202101,-742,131,236-153,207,176,ALASKA PROVIDER,24-JUL-2021 04:46PM,58.93873,-150.55118,58.93873,-150.52406,125,1.57,.272,.029428,5.544,18.744,0,5.5,11.5,30060,Pacific ocean perch,Sebastes alutus,2.96,6,100.584204,203.8869,1,species,166707,254573
2021,47,Gulf of Alaska Bottom Trawl Survey,Gulf of Alaska,GOA,202101,-742,132,229-156,203,176,ALASKA PROVIDER,24-JUL-2021 08:32AM,59.10692,-151.03526,59.10741,-151.06179,144,1.53,.27,.025306,5.536,16.54,0,6.2,10.3,71012,giant orange tochui,Tochuina gigantea,.007,1,.276612,39.516008,1,species,,572093
2021,47,Gulf of Alaska Bottom Trawl Survey,Gulf of Alaska,GOA,202101,-742,132,229-156,203,176,ALASKA PROVIDER,24-JUL-2021 08:32AM,59.10692,-151.03526,59.10741,-151.06179,144,1.53,.27,.025306,5.536,16.54,0,6.2,10.3,82500,sea urchin unid.,Echinacea,8.242,587,325.690937,23195.896658,,subterclass,157891,149855
2021,47,Gulf of Alaska Bottom Trawl Survey,Gulf of Alaska,GOA,202101,-742,251,430-81,288,176,ALASKA PROVIDER,12-AUG-2021 12:18PM,55.6757,-134.48189,55.67484,-134.45784,208,1.525,.265,.026492,6.015,17.372,0,5.8,14.6,66030,ocean shrimp,Pandalus jordani,.32,53,12.078981,2000.581301,2,species,96970,515469
2021,47,Gulf of Alaska Bottom Trawl Survey,Gulf of Alaska,GOA,202101,-742,251,424-77,290,176,ALASKA PROVIDER,12-AUG-2021 04:55PM,55.54834,-134.92914,55.53479,-134.92969,264,1.509,.267,.026338,6.067,17.454,0,5.6,14.5,21341,darkfin sculpin,Malacocottus zonurus,.068,2,2.581813,75.935662,1,species,167305,254406
2021,47,Gulf of Alaska Bottom Trawl Survey,Gulf of Alaska,GOA,202101,-742,251,427-80,289,176,ALASKA PROVIDER,12-AUG-2021 02:07PM,55.64484,-134.71233,55.64959,-134.73424,209,1.482,.264,.023872,6.508,16.108,0,5.7,14.5,30100,silvergray rockfish,Sebastes brevispinis,46.939,23,1966.273873,963.46959,1,species,166711,274778
2021,47,Gulf of Alaska Bottom Trawl Survey,Gulf of Alaska,GOA,202101,-742,151,447-60,294,176,ALASKA PROVIDER,14-AUG-2021 07:03AM,54.79646,-133.0952,54.78669,-133.11157,205,1.518,.266,.0251,6.053,16.535,0,6.1,13.5,40504,Chrysaora melanaster,Chrysaora melanaster,1.9,3,75.696819,119.521293,1,species,51641,287209
2021,47,Gulf of Alaska Bottom Trawl Survey,Gulf of Alaska,GOA,202101,-741,142,364-152,225,148,OCEAN EXPLORER,18-JUL-2021 03:32PM,58.92763,-139.92818,58.93687,-139.92148,155,1.1,.201,.019106,6.038,17.369,1.12,6.1,13.1,30060,Pacific ocean perch,Sebastes alutus,.528,8,27.635442,418.718825,1,species,166707,254573
2021,47,Gulf of Alaska Bottom Trawl Survey,Gulf of Alaska,GOA,202101,-741,140,307-167,208,148,OCEAN EXPLORER,14-JUL-2021 10:14AM,59.64374,-144.66556,59.65319,-144.64776,147,1.457,.264,.026063,5.784,17.888,0,5.5,10.7,10200,rex sole,Glyptocephalus zachirus,.636,3,24.402582,115.106518,1,species,172978,274287
2021,47,Gulf of Alaska Bottom Trawl Survey,Gulf of Alaska,GOA,202101,-741,134,272-160,197,148,OCEAN EXPLORER,09-JUL-2021 02:21PM,59.31763,-147.53943,59.3067,-147.52436,128,1.492,.267,.025485,6.097,17.081,2.4,5.6,12,20720,searcher,Bathymaster signatus,.104,1,4.080856,39.238996,1,species,170949,254513
2021,47,Gulf of Alaska Bottom Trawl Survey,Gulf of Alaska,GOA,202101,-741,230,268-157,196,148,OCEAN EXPLORER,09-JUL-2021 10:04AM,59.15264,-147.88023,59.14371,-147.86161,202,1.463,.269,.026129,6.286,17.86,1.11,5,11.6,23010,eulachon,Thaleichthys pacificus,.876,30,33.525736,1148.141656,1,species,162051,282959
2021,47,Gulf of Alaska Bottom Trawl Survey,Gulf of Alaska,GOA,202101,-741,240,319-170,210,148,OCEAN EXPLORER,14-JUL-2021 05:06PM,59.78187,-143.67004,59.79379,-143.67777,238,1.396,.255,.024706,6.005,17.698,0,5.8,11.7,40561,lion's mane jelly,Cyanea capillata,.21,1,8.499819,40.475329,2,species,51671,135301
2021,47,Gulf of Alaska Bottom Trawl Survey,Gulf of Alaska,GOA,202101,-741,230,268-157,196,148,OCEAN EXPLORER,09-JUL-2021 10:04AM,59.15264,-147.88023,59.14371,-147.86161,202,1.463,.269,.026129,6.286,17.86,1.11,5,11.6,82675,heart urchin,Brisaster latifrons,.41,8,15.691269,306.171108,1,species,158082,513143
2021,47,Gulf of Alaska Bottom Trawl Survey,Gulf of Alaska,GOA,202101,-741,231,196-86,147,148,OCEAN EXPLORER,28-JUN-2021 07:47PM,55.92351,-153.80939,55.91877,-153.78783,247,1.451,.259,.023566,6.805,16.241,0,5.5,10.2,81920,Nearchaster aciculosus,Nearchaster aciculosus,.048,1,2.036859,42.434572,,species,156959,380816
2021,47,Gulf of Alaska Bottom Trawl Survey,Gulf of Alaska,GOA,202101,-742,121,189-126,135,176,ALASKA PROVIDER,07-JUL-2021 11:24AM,57.69164,-154.36987,57.68264,-154.38813,188,1.483,.261,.023565,6.802,15.89,0,5.4,9.4,81780,common mud star,Ctenodiscus crispatus,.086,7,3.6495,297.05235,1,species,156940,123915
2021,47,Gulf of Alaska Bottom Trawl Survey,Gulf of Alaska,GOA,202101,-741,122,172-78,138,148,OCEAN EXPLORER,27-JUN-2021 07:13AM,55.58571,-155.76907,55.57637,-155.75244,187,1.48,.268,.025647,5.485,17.329,0,5.4,9.2,30060,Pacific ocean perch,Sebastes alutus,2033.48,3129,79287.493391,122002.953961,1,species,166707,254573
2021,47,Gulf of Alaska Bottom Trawl Survey,Gulf of Alaska,GOA,202101,-742,232,189-132,137,176,ALASKA PROVIDER,07-JUL-2021 05:13PM,57.9718,-154.34708,57.96314,-154.36642,270,1.5,.261,.024099,6.699,16.066,0,5.4,9.4,66020,Pandalus sp.,Pandalus sp.,.044,19,1.825802,788.414457,3,genus,96966,107044
2021,47,Gulf of Alaska Bottom Trawl Survey,Gulf of Alaska,GOA,202101,-741,22,175-94,134,148,OCEAN EXPLORER,26-JUN-2021 08:45AM,56.2651,-155.5433,56.2782,-155.53482,58,1.55,.283,.024197,6.972,15.611,0,6.3,7,10120,Pacific halibut,Hippoglossus stenolepis,6.548,7,270.6115,289.291463,1,species,172932,274290
2021,47,Gulf of Alaska Bottom Trawl Survey,Gulf of Alaska,GOA,202101,-742,35,195-122,133,176,ALASKA PROVIDER,07-JUL-2021 07:00AM,57.51838,-153.90682,57.53197,-153.91157,132,1.539,.27,.023658,6.722,15.372,0,5.7,9.6,69060,Aleutian hermit,Pagurus aleuticus,.038,3,1.606255,126.809637,1,species,97778,366647
